name,rarity,source,details,wiki_page,image_url
Farming Talisman,COMMON,Crafting Recipe,Wheat Collection IV,https://wiki.hypixel.net/Farming_Talisman,https://wiki.hypixel.net/images/5/5a/SkyBlock_items_farming_talisman.png
Vaccine Talisman,COMMON,Crafting Recipe,Potato Collection III,https://wiki.hypixel.net/Vaccine_Talisman,https://wiki.hypixel.net/images/5/50/SkyBlock_items_vaccine_talisman.png
Farmer Orb,UNCOMMON,Crafting Recipe,Pumpkin Collection VI,https://wiki.hypixel.net/Farmer_Orb,https://wiki.hypixel.net/images/c/c4/SkyBlock_items_farmer_orb.png
Night Vision Charm,COMMON,Crafting Recipe,Mushroom Collection VII,https://wiki.hypixel.net/Night_Vision_Charm,https://wiki.hypixel.net/images/2/2d/SkyBlock_items_night_vision_charm.png
Speed Talisman,COMMON,Crafting Recipe,Sugar Cane Collection II,https://wiki.hypixel.net/Speed_Talisman,https://wiki.hypixel.net/images/c/c3/SkyBlock_items_speed_talisman.png
Speed Ring,UNCOMMON,Crafting Recipe,Sugar Cane Collection V,https://wiki.hypixel.net/Speed_Ring,https://wiki.hypixel.net/images/5/58/SkyBlock_items_speed_ring.png
Speed Artifact,RARE,Crafting Recipe,Sugar Cane Collection VIII,https://wiki.hypixel.net/Speed_Artifact,https://wiki.hypixel.net/images/5/5c/SkyBlock_items_speed_artifact.png
Potion Affinity Talisman,COMMON,Crafting Recipe,Nether Wart Collection III,https://wiki.hypixel.net/Potion_Affinity_Talisman,https://wiki.hypixel.net/images/1/17/SkyBlock_items_potion_affinity_talisman.png
Potion Affinity Ring,UNCOMMON,Crafting Recipe,Nether Wart Collection VII,https://wiki.hypixel.net/Potion_Affinity_Ring,https://wiki.hypixel.net/images/f/f0/SkyBlock_items_ring_potion_affinity.png
Potion Affinity Artifact,RARE,Crafting Recipe,Nether Wart Collection IX,https://wiki.hypixel.net/Potion_Affinity_Artifact,https://wiki.hypixel.net/images/9/9c/SkyBlock_items_artifact_potion_affinity.png
Feather Talisman,COMMON,Crafting Recipe,Feather Collection IV,https://wiki.hypixel.net/Feather_Talisman,https://wiki.hypixel.net/images/b/bd/SkyBlock_items_feather_talisman.png
Feather Ring,UNCOMMON,Crafting Recipe,Feather Collection VII,https://wiki.hypixel.net/Feather_Ring,https://wiki.hypixel.net/images/a/a9/SkyBlock_items_feather_ring.png
Feather Artifact,RARE,Crafting Recipe,Feather Collection IX,https://wiki.hypixel.net/Feather_Artifact,https://wiki.hypixel.net/images/2/29/SkyBlock_items_feather_artifact.png
Piggy Bank,UNCOMMON,Crafting Recipe,Raw Porkchop Collection V,https://wiki.hypixel.net/Piggy_Bank,https://wiki.hypixel.net/images/a/a6/SkyBlock_items_piggy_bank.png
Haste Ring,RARE,Crafting Recipe,Cobblestone Collection VII,https://wiki.hypixel.net/Haste_Ring,https://wiki.hypixel.net/images/0/01/SkyBlock_items_haste_ring.png
Haste Artifact,EPIC,Crafting Recipe,Cobblestone Collection IX,https://wiki.hypixel.net/Haste_Artifact,https://wiki.hypixel.net/images/e/e7/SkyBlock_items_haste_artifact.png
Experience Artifact,EPIC,Crafting Recipe,Lapis Lazuli Collection IX,https://wiki.hypixel.net/Experience_Artifact,https://wiki.hypixel.net/images/4/4e/SkyBlock_items_enchanted_book.gif
Talisman Of Coins,COMMON,Crafting Recipe,Emerald Collection II,https://wiki.hypixel.net/Talisman_Of_Coins,https://wiki.hypixel.net/images/c/c5/SkyBlock_items_coin_talisman.png
